Artist,Song,Lyrics
Dua Lipa,Break My Heart,"[""I've always been the one to say the first goodbye"", 'Had to love and lose a\u2005hundred\u2005million times', 'Had to\u2005get it wrong to know just\u2005what I like', ""Now I'm falling"", 'You say my name like I have never heard before', ""I'm indecisive, but, this time, I know for sure"", ""I hope I'm not the only one that feels it all"", 'Are you falling?', '[Pre-Chorus]', '[Pre-Chorus]', 'Centre of attention', 'You know you can get whatever you want from me', 'Whenever you want it, baby', ""It's you in my reflection"", ""I'm afraid of all the things it could do to me"", ""If I would've known it, baby"", '[Chorus]', '[Chorus]', ""I would've stayed at home"", ""'Cause I was doing better alone"", 'But when you said, ""Hello""', 'I knew that was the end of it all', ""I should've stayed at home"", ""'Cause now there ain't no letting you go"", 'Am I falling in love with the one that could break my heart?', 'Oh no, I was doing better alone', 'But when you said, ""Hello""', 'I knew that was the end of it all', ""I should've stayed at home"", ""'Cause now there ain't no letting you go"", 'Am I falling in love with the one that could break my heart?', 'See Dua Lipa Live', 'I wonder, when you go, if I stay on your mind', 'Two can play that game, but you win me every time', 'Everyone before you was a waste of time', 'Yeah, you got me', '[Pre-Chorus]', '[Pre-Chorus]', 'Centre of attention', 'You know you can get whatever you want from me', 'Whenever you want it, baby', ""It's you in my reflection"", ""I'm afraid of all the things it could do to me"", ""If I would've known it, baby"", '[Chorus]', '[Chorus]', ""I would've stayed at home"", ""'Cause I was doing better alone"", 'But when you said, ""Hello""', 'I knew that was the end of it all', ""I should've stayed at home (I would've stayed at home 'cause I–)"", ""'Cause now there ain't no letting you go"", 'Am I falling in love with the one that could break my heart?', 'Oh no, I was doing better alone', 'But when you said, ""Hello""', 'I knew that was the end of it all', ""I should've stayed at home"", ""'Cause now there ain't no letting you go"", 'Am I falling in love with the one that could break my heart?', '[Bridge]', 'Ooh, break my heart', 'Ooh, break my heart', 'Ooh', 'Am I falling in love with the one that could break my heart?', '[Chorus]', '[Chorus]', ""I would've stayed at home"", ""'Cause I was doing better alone"", 'But when you said, ""Hello""', 'I knew that was the end of it all', ""I should've stayed at home (I would've stayed at home 'cause I–)"", ""'Cause now there ain't no letting you go"", 'Am I falling in love with the one that could break my heart?', 'Oh no (Oh no), I was doing better alone', 'But when you said, ""Hello""', 'I knew that was the end of it all', ""I should've stayed at home"", ""'Cause now there ain't no letting you go"", 'Am I falling in love with the one that could break my heart?']"
Ed Sheeran,Castle on the Hill,"['When I was six years old, I broke my leg', ""I was runnin' from my brother and his friends"", 'And tasted the sweet perfume of the mountain grass I rolled down', 'I was younger then, take me back to when I', '[Pre-Chorus]', '[Pre-Chorus]', 'Found my heart and broke it here', 'Made friends and lost them through the years', ""And I've not seen the roaring fields in so long, I know I've grown"", ""But I can't wait to go home"", '[Chorus]', '[Chorus]', ""I'm on my way"", ""Drivin' at ninety down those country lanes"", 'Singin\' to ""Tiny Dancer""', ""And I miss the way you make me feel and it's real"", 'We watched the sunset over the castle on the hill', '[Verse 2]', '[Verse 2]', 'Fifteen years old and smoking hand-rolled cigarettes', ""Runnin' from the law through the backfields and gettin' drunk with my friends"", ""Had my first kiss on a Friday night, I don't reckon that I did it right"", 'But I was younger then, take me back to when', '[Pre-Chorus]', '[Pre-Chorus]', 'We found weekend jobs, when we got paid', ""We'd buy cheap spirits and drink them straight"", ""Me and my friends have not thrown up in so long, oh, how we've grown"", ""But I can't wait to go home"", 'See Ed Sheeran Live', ""I'm on my way"", ""Drivin' at ninety down those country lanes"", 'Singin\' to ""Tiny Dancer""', ""And I miss the way you make me feel and it's real"", 'We watched the sunset over the castle on the hill', 'Over the castle on the hill', 'Over the castle on the hill', '[Bridge]', '[Bridge]', 'One friend left to sell clothes', 'One works down by the coast', 'One had two kids but lives alone', ""One's brother overdosed"", ""One's already on his second wife"", ""One's just barely gettin' by"", 'But these people raised me', ""And I can't wait to go home"", '[Chorus]', '[Chorus]', ""And I'm on my way, I still remember"", 'These old country lanes', 'When we did not know the answers', ""And I miss the way you make me feel and it's real"", 'We watched the sunset over the castle on the hill', 'Over the castle on the hill', 'Over the castle on the hill']"
Travis Scott,Butterfly Effect,"['(', '(', 'Ooh, hmm', '[Chorus]', '[Chorus]', 'For this life, I cannot change (Change)', 'Hidden Hills, deep off in the main (Main)', ""M&M's, sweet like candy cane (Cane)"", 'Drop the top, pop it, let it bang (Pop it, pop it)', 'For this life, I cannot change', 'In the hills, deep off in the main', ""M&M's, sweet like candy cane"", 'Drop the top, pop it, let it bang (Pop it, pop it)', '[Verse 1]', '[Verse 1]', 'Drop the top, play hide and seek (Yeah)', 'Jump inside, jump straight to the league (League)', ""Take a sip, feel just how I be (It's lit)"", ""On Freeway, but no, ain't nothin' free (Straight up)"", 'Bend laws, bend lanes (Skrrt, skrrt)', ""Been bustin' bills, but still, ain't nothin' change (Skrrt, skrrt, skrrt, skrrt)"", 'You in the mob soon as you rock the chain (Skrrt, skrrt, mob)', ""She caught the waves, just thumbin' through my braids (Alright)"", ""Heatin' up, baby, I'm just heatin' up (It's lit)"", 'Need your love, not a need, it is a must (Yeah)', ""Feelin' stuck, you know how to keep me up (Yeah, yeah)"", 'Icy love, icy like a hockey puck (Alright)', 'See Travis Scott Live', 'For this life, I cannot change (Change)', 'Hidden Hills, deep off in the main (Main)', ""M&M's, sweet like candy cane (Cane)"", 'Drop the top, pop it, let it bang (Pop it, pop it)', 'For this life, I cannot change', 'Hidden Hills, deep off in the main (Yeah, yeah)', ""M&M's, sweet like candy cane"", 'Drop the top, pop it, let it bang', '[Verse 2]', '[Verse 2]', 'All the ones, all the chains piled on the mantle (Yeah)', ""All the dawgs, all the dawgs low creep right behind me in the Phantom (It's lit)"", 'Yeah, never go, never go dip on the set, stayed Santana', ""Yeah, run it back, turn the lights on when I hit up Green Lantern (It's lit, alright)"", 'Yeah, fly the broads, fly the dawgs down to Atlanta', 'Yeah, in the cut in Medusa, lay low, yeah, I might be', ""Yeah, roll up, help me calm down when I'm movin' high speed"", ""Yeah, if I send one, need to text back 'cause you know what I need (Straight up)"", 'Oh, please, oh, me, oh, my', ""We been movin', we been movin' for some time (Alright)"", ""Flexin', flexin', try to exercise"", 'Exercise (Exercise), exercise (Exercise), exercise (Exercise), exercise (Exercise)', '(Yeah, yeah)', '[Chorus]', '[Chorus]', '(For this life)', 'For this life, I cannot change (Change)', 'Hidden Hills, deep off in the main (Main)', ""M&M's, sweet like candy cane (Cane)"", 'Drop the top, pop it, let it bang (Pop it, pop it)', 'For this life, I cannot change', 'Hidden Hills, deep off in the main', ""M&M's, sweet like candy cane"", 'Drop the top, pop it, let it bang (Bang, yeah)']"
Lizzo,Juice,"['Mirror, mirror on the wall', ""Don't say it ’cause I know I'm cute (Ooh, baby)"", 'Louis down to my drawers', 'LV all on my shoes (Ooh, baby)', ""I be drippin' so much sauce"", 'Got a bih lookin’ like RAGÚ (Ooh, baby)', 'Lit up like a crystal ball', ""That's cool, baby, so is you"", ""That's how I roll"", '[Pre-Chorus]', '[Pre-Chorus]', ""If I'm shinin', everybody gonna shine"", ""I was born like this, don't even gotta try"", ""I'm like chardonnay, get better over time "", 'Heard you say I’m not the baddest, bitch, you lie (Haha)', '[Chorus]', '[Chorus]', ""It ain’t my fault that I'm out here gettin’ loose"", 'Gotta blame it on the Goose', 'Gotta blame it on my juice, baby', ""It ain't my fault that I'm out here makin' news"", 'I’m the pudding in the proof', 'Gotta blame it on my juice', 'Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee', 'Blame it on my juice, blame it, blame it on my juice', 'Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee', 'Blame it on my juice, blame it, blame it on my juice (Ooh, baby)', 'You might also like', ""No, I'm not a snack at all"", ""Look, baby, I'm the whole damn meal (Ooh, baby)"", ""David, you ain't bein' slick"", ""Don't dare try to cop a feel (Ooh, baby)"", ""The juice ain't worth the squeeze"", ""If the juice don't look like this"", 'Hold up, nigga, please', ""Don't make me have to take your bitch, shit "", '[Pre-Chorus]', '[Pre-Chorus]', ""If I'm shinin', everybody gonna shine"", ""I was born like this, don't even gotta try"", ""I'm like chardonnay (Okay), get better over time"", ""Heard you say I'm not the baddest, bitch, you lie "", '[Chorus]', '[Chorus]', ""It ain't my fault that I'm out here gettin' loose"", 'Gotta blame it on the Goose', 'Gotta blame it on my juice, baby', ""It ain't my fault that I'm out here makin' news"", ""I'm the pudding in the proof"", 'Gotta blame it on my juice', 'Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee', 'Blame it on my juice, blame it, blame it on my juice', 'Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee', 'Blame it on my juice, blame it, blame it on my juice (Alright)', 'Ya-ya-ee', '[Bridge]', 'Somebody come get this man', 'I think he got lost in my DMs, what? My DMs, what?', 'You better come get your man', 'I think he wanna be way more than friends, what?', 'More than friends', 'What you want me to say?', '[Chorus]', '[Chorus]', ""It ain't my fault that I'm out here gettin' loose"", 'Gotta blame it on the Goose', 'Gotta blame it on my juice, baby', ""It ain't my fault that I'm out here makin' news"", ""I'm the pudding in the proof (Puddin' in the proof)"", 'Gotta blame it on my juice (Blame it on my juice)', 'Ya-ya-ee (Yay-ya), ya-ya-ee, ya-ya-ee, ya-ya-ee', 'Blame it on my juice, blame it, blame it on my juice', 'Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee', 'Blame it on my juice, blame it, blame it on my juice', '(Blame it on it, yeah)']"
Sam Smith,Dancing with a Stranger,"['Hmm, mhm', '[Verse 1: Sam Smith]', '[Verse 1: Sam Smith]', ""I don't wanna be alone tonight (Alone tonight)"", ""It's pretty clear that I'm not over you (Over you, over you)"", ""I'm still thinking 'bout the things you do (Things you do)"", ""So I don't wanna be alone tonight, alone tonight, alone tonight"", 'Can you light the fire? (Light the fire, light the fire)', 'I need somebody who can take control (Take control)', 'I know exactly what I need to do', ""'Cause I don't wanna be alone tonight, alone tonight, alone tonight"", '[Chorus: Sam Smith]', '[Chorus: Sam Smith]', ""Look what you made me do, I'm with somebody new"", ""Ooh, baby, baby, I'm dancing with a stranger"", ""Look what you made me do, I'm with somebody new"", ""Ooh, baby, baby, I'm dancing with a stranger"", 'Dancing with a stranger', '[Verse 2: Normani]', '[Verse 2: Normani]', ""I wasn't even going out tonight (Out tonight)"", 'But, boy, I need to get you off of my mind (Off of my mind)', 'I know exactly what I have to do', ""I don't wanna be alone tonight, alone tonight, alone tonight"", 'You might also like', ""Look what you made me do, I'm with somebody new"", ""Ooh, baby, baby, I'm dancing with a stranger"", ""Look what you made me do, I'm with somebody new"", ""Ooh, baby, baby, I'm dancing with a stranger"", 'Dancing ', 'Dancing with a stranger', 'Dancing, yeah,', '[Outro: Sam Smith, ', '[Outro: Sam Smith, ', ""Look what you made me do, I'm with somebody new "", ""Ooh, baby, baby, I'm dancing with a stranger"", ""Look what you made me do, I'm with somebody new"", ""Ooh, baby, baby, I'm dancing with a stranger"", ""I'm dancing, I'm dancing (Ooh)"", ""I'm dancing, I'm dancing (Dancing with a stranger)"", ""I'm dancing, I'm dancing"", ""I'm dancing, I'm dancing ""]"
Maroon 5,Memories,"[""Here's to the ones that we got"", ""Cheers to the wish you were here, but you're\u2005not"", ""'Cause\u2005the drinks bring\u2005back all the memories"", ""Of everything we've\u2005been through"", 'Toast to the ones here today', 'Toast to the ones that we lost on the way', ""'Cause the drinks bring back all the memories"", 'And the memories bring back, memories bring back you', '[Verse 1]', '[Verse 1]', ""There's a time that I remember when I did not know no pain"", 'When I believed in forever and everything would stay the same', 'Now my heart feel like December when somebody say your name', ""'Cause I can't reach out to call you, but I know I will one day, yeah"", '[Pre-Chorus]', '[Pre-Chorus]', 'Everybody hurts sometimes', 'Everybody hurts someday, ', ""But everything gon' be alright"", 'Go and raise a glass and say, ayy', '[Chorus]', '[Chorus]', ""Here's to the ones that we got"", ""Cheers to the wish you were here, but you're not"", ""'Cause the drinks bring back all the memories"", ""Of everything we've been through"", 'Toast to the ones here today', 'Toast to the ones that we lost on the way', ""'Cause the drinks bring back all the memories"", 'And the memories bring back, memories bring back you', 'See Maroon 5 Live', 'Doo-doo, doo-doo-doo-doo', 'Doo-doo-doo-doo, doo-doo-doo-doo', 'Doo-doo-doo-doo, doo-doo-doo', 'Memories bring back, memories bring back you', '[Verse 2]', '[Verse 2]', ""There's a time that I remember when I never felt so lost"", 'When I felt all of the hatred was too powerful to stop (Ooh, yeah)', ""Now my heart feel like an ember and it's lighting up the dark"", ""I'll carry these torches for ya that you know I'll never drop, yeah"", '[Pre-Chorus]', '[Pre-Chorus]', 'Everybody hurts sometimes', 'Everybody hurts someday, ayy-ayy', ""But everything gon' be alright"", 'Go and raise a glass and say, ayy', '[Chorus]', '[Chorus]', ""Here's to the ones that we got (Oh-oh)"", ""Cheers to the wish you were here, but you're not"", ""'Cause the drinks bring back all the memories"", ""Of everything we've been through (No, no)"", 'Toast to the ones here today (Ayy)', 'Toast to the ones that we lost on the way', ""'Cause the drinks bring back all the memories (Ayy)"", 'And the memories bring back, memories bring back you', '[Post-Chorus]', 'Doo-doo, doo-doo-doo-doo', 'Doo-doo-doo-doo, doo-doo-doo-doo', 'Doo-doo-doo-doo, doo-doo-doo', 'Memories bring back, memories bring back you', 'Doo-doo, doo-doo-doo-doo', 'Doo-doo-doo-doo, doo-doo-doo-doo', 'Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)', 'Memories bring back, memories bring back you', '[Outro]', '[Outro]', 'Yeah, yeah, yeah', 'Yeah, yeah, yeah, yeah, yeah, no, no', 'Memories bring back, memories bring back you']"
Lady Gaga,Shallow,"[""Tell me somethin', girl"", 'Are you happy in this modern world?', 'Or do you need more?', ""Is there somethin' else you're searchin' for?"", '[Refrain: Bradley Cooper]', '[Refrain: Bradley Cooper]', ""I'm fallin'"", ""In all the good times, I find myself longin'"", 'For change', 'And, in the bad times, I fear myself', '[Verse 2: Lady Gaga]', '[Verse 2: Lady Gaga]', 'Tell me something, boy', ""Aren't you tired tryna fill that void?"", 'Or do you need more?', ""Ain't it hard keepin' it so hardcore?"", '[Refrain: Lady Gaga]', '[Refrain: Lady Gaga]', ""I'm falling"", 'In all the good times, I find myself longing', 'For change', 'And, in the bad times, I fear myself', '[Chorus: Lady Gaga]', '[Chorus: Lady Gaga]', ""I'm off the deep end, watch as I dive in"", ""I'll never meet the ground"", ""Crash through the surface where they can't hurt us"", ""We're far from the shallow now"", 'You might also like', 'In the sha-ha, sha-hallow', 'In the sha-ha, sha-la-la-la-low', 'In the sha-ha, sha-hallow', ""We're far from the shallow now"", '[Bridge: Lady Gaga]', '[Bridge: Lady Gaga]', 'Oh, ha, ah, ha', 'Oh-ah, ha', '[Chorus: Lady Gaga]', '[Chorus: Lady Gaga]', ""I'm off the deep end, watch as I dive in"", ""I'll never meet the ground"", ""Crash through the surface where they can't hurt us"", ""We're far from the shallow now"", '[Post-Chorus: Lady Gaga & Bradley Cooper]', '[Post-Chorus: Lady Gaga & Bradley Cooper]', 'In the sha-ha, shallow', 'In the sha-ha, sha-la-la-la-low', 'In the sha-ha, shallow', ""We're far from the shallow now""]"
Drake,In My Feelings,"['Trap, TrapMoneyBenny', 'This shit got me in my feelings', 'Gotta be real with it, yeah', '[Chorus: Drake]', '[Chorus: Drake]', 'Kiki, do you love me? Are you riding?', ""Say you'll never ever leave from beside me"", ""'Cause I want ya, and I need ya"", ""And I'm down for you always"", 'KB, do you love me? Are you riding?', ""Say you'll never ever leave from beside me"", ""'Cause I want ya, and I need ya"", ""And I'm down for you always"", '[Verse: Drake]', '[Verse: Drake]', 'Look, the new me is really still the real me', 'I swear you gotta feel me before they try and kill me', ""They gotta make some choices, they runnin' out of options"", ""'Cause I've been goin' off and they don't know when it's stoppin'"", ""And when you get to toppin', I see that you've been learnin'"", ""And when I take you shoppin', you spend it like you earned it"", 'And when you popped off on your ex he deserved it', 'I thought you were the one from the jump, that confirmed it', 'TrapMoneyBenny, ayy', 'I buy you Champagne but you love some Henny', 'From the block like you Jenny', ""I know you special, girl, 'cause I know too many"", 'See Drake Live', ""'Resha, do you love me? Are you riding?"", ""Say you'll never ever leave from beside me"", ""'Cause I want ya, and I need ya"", ""And I'm down for you always"", 'JT, do you love me? Are you riding?', ""Say you'll never ever leave from beside me"", ""'Cause I want ya, and I need ya"", ""And I'm down for you always"", '[Interlude: JT, ', '[Interlude: JT, ', ""Two bad bitches and we kissin' in the Wraith"", ""Kissin'-kissin' in the Wraith, kiss-kissin' in the Wraith"", 'I need that black card and the code to the safe', 'Code to the safe, code-code to the safe-safe', 'I show him how that neck work', ""Fuck that Netflix and chill—what's your net-net-net worth?"", ""'Cause I want ya, and I need ya"", ""And I'm down for you always"", 'Yeah, yeah, yeah, yeah, he bad', ""And I'm down for you always"", ""Yeah, yeah, yeah, guess who's back"", ""And I'm down for you always"", 'D-down for you al–', 'Black biggy biggy black biggy black blake', 'D-d-down for you always', 'I got a new boy, and that nigga trade!', '[Chorus: Drake]', 'Kiki, do you love me? Are you riding?', ""Say you'll never ever leave from beside me"", ""'Cause I want you, and I need you"", ""And I'm down for you always"", 'KB, do you love me? Are you riding?', ""Say you'll never ever leave from beside me"", ""'Cause I want ya, and I–"", '[Breakdown: Lil Wayne & ', '[Breakdown: Lil Wayne & ', 'Skate and Smoke and Rap', 'Now let me see you', 'Bring that ass, bring that ass, bring that ass back!', 'B-bring that ass, bring that ass, bring that ass back!', ""Shawty say the nigga that she with can't hit"", ""But shawty, I'ma hit it, hit it like I can't miss"", 'Now let me see you', ""Clap that ass, you're the only one I love"", 'Clap that ass, clap-clap that ass!', 'Bring that ass back!', ""Clap-clap-clap that ass, you're the only one I love"", ""Let's go, let's go, let's go!"", 'Bring that ass back!', '[Outro: Drake]', '[Outro: Drake]', 'Trap, TrapMoneyBenny', 'This shit got me in my feelings', 'Gotta be real with it, yup', ""BlaqNmilD, you a genius, you diggin' me?"", '[Skit: Zazie Beetz]', ""I don't even care, I need a photo with Drake"", 'Because my Instagram is weak as fuck', ""I'm just being real, my shit, look–"", '\n']"
Sia,Cheap Thrills,"['Come on, come on, turn the radio on', ""It's Friday night and I won't be long"", 'Gotta do my hair, put my make up on', ""It's Friday night and I won't be long"", '[Pre-Chorus]', '[Pre-Chorus]', ""'Til I hit the dance floor, hit the dance floor"", 'I got all I need', ""No, I ain't got cash, I ain't got cash"", 'But I got you, baby', '[Chorus]', '[Chorus]', ""Baby, I don't need dollar bills to have fun tonight"", '(I love cheap thrills)', ""Baby, I don't need dollar bills to have fun tonight"", '(I love cheap thrills)', ""But I don't need no money"", 'As long as I can feel the beat', ""I don't need no money"", 'As long as I keep dancing', '[Verse 2]', '[Verse 2]', 'Come on, come on, turn the radio on', ""It's Saturday and I won't be long"", 'Gotta paint my nails, put my high heels on', ""It's Saturday and I won't be long"", 'You might also like', ""'Til I hit the dance floor, hit the dance floor"", 'I got all I need', ""No, I ain't got cash, I ain't got cash"", 'But I got you, baby', '[Chorus]', '[Chorus]', ""Baby, I don't need dollar bills to have fun tonight"", '(I love cheap thrills)', ""Baby, I don't need dollar bills to have fun tonight"", '(I love cheap thrills)', ""But I don't need no money"", 'As long as I can feel the beat', ""I don't need no money"", 'As long as I keep dancing', '[Bridge]', '[Bridge]', '(I love cheap thrills)', '(I love cheap thrills)', ""I don't need no money"", 'As long as I can feel the beat', ""I don't need no money"", 'As long as I keep dancing', '[Chorus]', '[Chorus]', ""Baby, I don't need dollar bills to have fun tonight"", '(I love cheap thrills)', ""Baby, I don't need dollar bills to have fun tonight"", '(I love cheap thrills)', ""I don't need no money"", 'As long as I can feel the beat', ""I don't need no money"", 'As long as I keep dancing', '[Outro]', 'La, la, la, la, la, la, la', '(I love cheap thrills)', 'La, la, la, la, la, la, la', '(I love cheap thrills)', 'La, la, la, la, la, la, la', '(I love cheap thrills)', 'La, la, la, la, la, la, la', '(I love cheap thrills)']"
Twenty One Pilots,Heathens,"['All my friends are heathens, take it slow (In the city, boy, in the city)', 'Wait for them to ask you who you know', ""Please don't make any sudden moves"", ""You don't know the half of the abuse"", 'All my friends are heathens, take it slow', 'Wait for them to ask you who you know', ""Please don't make any sudden moves"", ""You don't know the half of the abuse"", '[Verse 1]', '[Verse 1]', 'Welcome to the room of people who have rooms of people', 'That they loved one day, locked away', 'Just because we check the guns at the door', ""Doesn't mean our brains will change from hand grenades"", ""You'll never know the psychopath sitting next to you"", ""You'll never know  the murderer sitting next to you"", 'You\'ll think, ""How\'d I get here, sitting next to you?""', ""But after all I've said, please don't forget"", '[Chorus]', '[Chorus]', 'All my friends are heathens, take it slow', 'Wait for them to ask you who you know', ""Please don't make any sudden moves"", ""You don't know the half of the abuse"", 'You might also like', ""We don't deal with outsiders very well"", 'They say newcomers have a certain smell', 'You have trust issues, not to mention', 'They say they can smell your intentions', ""You'll never know the freak show sitting next to you"", ""You'll have some weird people sitting next to you"", 'You\'ll think ""How did I get here, sitting next to you?""', ""But after all I've said, please don't forget"", '(Watch it, watch it)', '[Chorus]', '[Chorus]', 'All my friends are heathens, take it slow (In the city, boy, in the city)', 'Wait for them to ask you who you know', ""Please don't make any sudden moves"", ""You don't know the half of the abuse"", '[Bridge]', '[Bridge]', 'All my friends are heathens, take it slow', 'Wait for them to ask you who you know', 'Please all my friends are heathens, take it slow', 'Wait for them to ask you who you know', '[Outro]', '[Outro]', ""Why'd you come? You knew you should have stayed (It's blasphemy)"", ""I tried to warn you just to stay away (Wouldn't listen to me)"", ""And now they're outside ready to bust (And guess what?)"", 'It looks like you might be one of us']"
